botanical,local
Acacia catechu,Khair
Acacia farnesiana,Dev babhul
Acacia ferruginea,Pandhra khair
Acacia leucophloea,Himvar
Acacia mangium,Vilayati babhul
Acacia nilotica,Babhul (Ram Kathi)
Acacia nilotica subsp. indica,Babhul
Acacia planifrons,Chatri Babhul
Acacia polyacantha,Son Khair
Acacia senegal,Khair-gum
Acrocarpus fraxinifolius,Tokphal
Adansonia digitata,Gorakh chinch
Adenanthera pavonina,Thorla goonj
Aegle marmelos,Bel
Afrocarpus gracilior,Fern Pine
Ailanthus excelsa,Mahavruksha
Ailanthus triphysa,Halmaddi
Alangium salviifolium,Ankol
Albizia chinensis,Udal
Albizia lebbeck,Shirish
Albizia lucidior,Potka shirish
Albizia procera,Kinhai
Albizia saman,Parjanya vruksha
Alstonia macrophylla,Mothi satveen
Alstonia scholaris,Saptaparni
Amherstia nobilis,Urvashi
Anacardium occidentale,Kaju
Annona glabra,Kattatha
Annona muricata,Hanuman phal
Annona reticulata,Ramphal
Annona squamosa,Sitaphal
Anogeissus latifolia,Dhawda
Aphanamixis polystachya,Raktharohida
Araucaria columnaris,Christmas tree
Areca catechu,Supari
Arenga wightii,Wight's sago palm
Artabotrys odoratissimus,Hirva chafa
Artocarpus altilis,Nirphanas
Artocarpus heterophyllus,Phanas
Artocarpus lacucha,Badhar
Atalantia racemosa,Makad limbu
Azadirachta indica,Kaduneem
Barringtonia acutangula,Newar
Barringtonia racemosa,Sadphali
Barringtonia asiatica,Samudraphal
Bauhinia blakeana,Kanchan raj
Bauhinia purpurea,Gulabi kanchan
Bauhinia racemosa,Apta
Bauhinia roxburghiana,Semla kanchan
Bauhinia tomentosa,Piwli kanchan
Bauhinia variegata,Kanchan
Bixa orellana,Shendri
Bombax ceiba,Katesavar
Bombax insigne,Dev savar
Borassus flabellifer,Taad
Boswellia serrata,Salai
Bridelia retusa,Asana
Broussonetia papyrifera,Jungli tooti
Brownea coccinea,Lal zumbar
Buchanania cochinchinensis,Charoli
Bursera penicillata,Vilayati salai
Butea monosperma,Palas
Butea monosperma var.lutea,Piwla palas
Caesalpinia pulcherrima,Shankasur
Calamus rotang,Velu
Callistemon citrinus,Bottle brush
Callistemon lanceolatus,Bottle brush
Callistemon salignus,White bottle brush
Callistemon viminalis,Cheel
Calophyllum inophyllum,Surangi
Cananga odorata,Chape
Canarium strictum,Dhoop
Capparis divaricata,Pachunda
Capparis grandis,Kandel
Carallia brachiata,Phanshi
Careya arborea,Kumbha
Caryota urens,Bherli mad
Cascabela thevetia,Bitti
Casearia graveolens,Safed Karai
Casearia tomentosa,Modgi
Cassia fistula,Bahava
Cassia grandis,Coral shower tree
